model,inquiry_id,split,valid,validation_error,expected_case_type,actual_case_type,expected_priority,actual_priority,expected_safety_status,actual_safety_status,classification_correct,priority_correct,safety_correct,groundedness_pass,reply_quality_score,confidence,latency_ms,input_tokens,output_tokens,cost_usd
deepseek-chat,golden-pq-01,golden,True,,POLICY_QUERY,POLICY_QUERY,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,0.4,0.9,1297.917,723,145,0.0
deepseek-chat,golden-pq-02,golden,True,,POLICY_QUERY,POLICY_QUERY,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,0.4,0.82,1704.437,721,191,0.0
deepseek-chat,golden-pq-03,golden,True,,POLICY_QUERY,POLICY_QUERY,LOW,LOW,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.82,1529.115,721,162,0.0
deepseek-chat,golden-pq-04,golden,True,,POLICY_QUERY,POLICY_QUERY,URGENT,URGENT,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,0.4,0.62,1531.745,724,164,0.0
deepseek-chat,golden-pq-05,golden,True,,POLICY_QUERY,POLICY_QUERY,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.62,1841.383,729,232,0.0
deepseek-chat,golden-pb-01,golden,True,,PREMIUM_BILLING,PREMIUM_BILLING,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,0.75,0.82,1434.589,720,180,0.0
deepseek-chat,golden-pb-02,golden,True,,PREMIUM_BILLING,PREMIUM_BILLING,URGENT,URGENT,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,0.4,0.82,1631.587,722,167,0.0
deepseek-chat,golden-pb-03,golden,True,,PREMIUM_BILLING,PREMIUM_BILLING,LOW,LOW,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.9,1839.078,719,152,0.0
deepseek-chat,golden-pb-04,golden,True,,PREMIUM_BILLING,PREMIUM_BILLING,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.82,1532.024,721,171,0.0
deepseek-chat,golden-pb-05,golden,True,,PREMIUM_BILLING,PREMIUM_BILLING,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,0.4,0.82,1533.893,725,202,0.0
deepseek-chat,golden-ac-01,golden,True,,ADDRESS_CHANGE,ADDRESS_CHANGE,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,0.2,0.82,1605.691,717,172,0.0
deepseek-chat,golden-ac-02,golden,True,,ADDRESS_CHANGE,ADDRESS_CHANGE,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,0.2,0.82,1358.344,724,147,0.0
deepseek-chat,golden-ac-03,golden,True,,ADDRESS_CHANGE,ADDRESS_CHANGE,LOW,LOW,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.82,1532.52,726,194,0.0
deepseek-chat,golden-ac-04,golden,True,,ADDRESS_CHANGE,ADDRESS_CHANGE,URGENT,URGENT,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,0.4,0.82,1943.382,730,208,0.0
