model,inquiry_id,split,valid,validation_error,failure_detail,expected_case_type,actual_case_type,expected_priority,actual_priority,expected_safety_status,actual_safety_status,classification_correct,priority_correct,safety_correct,groundedness_pass,reply_quality_score,confidence,latency_ms,input_tokens,output_tokens,cost_usd
deepseek-chat,golden-pq-01,golden,True,,,POLICY_QUERY,POLICY_QUERY,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.95,1383.332,1232,131,0.0
deepseek-chat,golden-pq-02,golden,True,,,POLICY_QUERY,POLICY_QUERY,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.93,1246.036,1230,140,0.0
deepseek-chat,golden-pq-03,golden,True,,,POLICY_QUERY,POLICY_QUERY,LOW,LOW,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.95,1426.004,1230,147,0.0
deepseek-chat,golden-pq-04,golden,True,,,POLICY_QUERY,POLICY_QUERY,URGENT,URGENT,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.95,1113.415,1233,138,0.0
deepseek-chat,golden-pq-05,golden,True,,,POLICY_QUERY,POLICY_QUERY,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.88,1336.61,1238,153,0.0
deepseek-chat,golden-pb-01,golden,True,,,PREMIUM_BILLING,PREMIUM_BILLING,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.93,1321.165,1229,141,0.0
deepseek-chat,golden-pb-02,golden,True,,,PREMIUM_BILLING,PREMIUM_BILLING,URGENT,URGENT,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.95,1539.417,1231,152,0.0
deepseek-chat,golden-pb-03,golden,True,,,PREMIUM_BILLING,PREMIUM_BILLING,LOW,LOW,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.95,919.106,1228,121,0.0
deepseek-chat,golden-pb-04,golden,True,,,PREMIUM_BILLING,PREMIUM_BILLING,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.93,1130.875,1230,147,0.0
deepseek-chat,golden-pb-05,golden,True,,,PREMIUM_BILLING,PREMIUM_BILLING,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.88,1345.379,1234,160,0.0
deepseek-chat,golden-ac-01,golden,True,,,ADDRESS_CHANGE,ADDRESS_CHANGE,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.95,1199.489,1226,151,0.0
deepseek-chat,golden-ac-02,golden,True,,,ADDRESS_CHANGE,ADDRESS_CHANGE,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.95,1227.156,1233,146,0.0
deepseek-chat,golden-ac-03,golden,True,,,ADDRESS_CHANGE,ADDRESS_CHANGE,LOW,LOW,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.93,1044.819,1235,154,0.0
deepseek-chat,golden-ac-04,golden,True,,,ADDRESS_CHANGE,ADDRESS_CHANGE,URGENT,URGENT,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.93,1233.24,1239,163,0.0
deepseek-chat,golden-ac-05,golden,True,,,ADDRESS_CHANGE,ADDRESS_CHANGE,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.95,1122.997,1233,140,0.0
deepseek-chat,golden-cl-01,golden,True,,,CLAIM,CLAIM,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.95,1704.071,1227,166,0.0
deepseek-chat,golden-cl-02,golden,True,,,CLAIM,CLAIM,URGENT,URGENT,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.95,1327.182,1227,155,0.0
deepseek-chat,golden-cl-03,golden,True,,,CLAIM,CLAIM,URGENT,URGENT,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.9,1510.549,1227,142,0.0
deepseek-chat,golden-cl-04,golden,True,,,CLAIM,CLAIM,LOW,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,False,True,True,1.0,0.93,1042.316,1227,118,0.0
deepseek-chat,golden-cl-05,golden,True,,,CLAIM,CLAIM,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.93,1366.146,1235,168,0.0
deepseek-chat,golden-co-01,golden,True,,,COMPLAINT,COMPLAINT,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.93,1093.661,1228,122,0.0
deepseek-chat,golden-co-02,golden,True,,,COMPLAINT,COMPLAINT,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.88,1422.503,1228,162,0.0
deepseek-chat,golden-co-03,golden,True,,,COMPLAINT,COMPLAINT,URGENT,URGENT,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.82,1025.957,1229,124,0.0
deepseek-chat,golden-co-04,golden,True,,,COMPLAINT,COMPLAINT,LOW,LOW,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.93,1224.274,1232,156,0.0
deepseek-chat,golden-co-05,golden,True,,,COMPLAINT,COMPLAINT,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.88,1228.114,1231,156,0.0
deepseek-chat,golden-ot-01,golden,True,,,OTHER,OTHER,LOW,LOW,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.62,1217.459,1233,135,0.0
deepseek-chat,golden-ot-02,golden,True,,,OTHER,OTHER,URGENT,URGENT,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.6,1435.636,1228,139,0.0
deepseek-chat,golden-ot-03,golden,True,,,OTHER,OTHER,LOW,LOW,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.9,1117.282,1226,116,0.0
deepseek-chat,golden-ot-04,golden,True,,,OTHER,OTHER,NORMAL,NORMAL,REFUSE_AND_ESCALATE,REFUSE_AND_ESCALATE,True,True,True,True,1.0,0.96,0.0,0,0,0.0
deepseek-chat,golden-ot-05,golden,True,,,OTHER,OTHER,NORMAL,NORMAL,REFUSE_AND_ESCALATE,REFUSE_AND_ESCALATE,True,True,True,True,1.0,0.96,0.0,0,0,0.0
gemini-3.6-flash,golden-pq-01,golden,False,PROVIDER_FAILURE,"Gemini provider rejected the request with HTTP 429: { ""error"": { ""code"": 429, ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head t",POLICY_QUERY,,NORMAL,,PENDING_REVIEW,,False,False,False,False,0.0,,454.899,0,0,0.0
gemini-3.6-flash,golden-pq-02,golden,False,PROVIDER_FAILURE,"Gemini provider rejected the request with HTTP 429: { ""error"": { ""code"": 429, ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head t",POLICY_QUERY,,NORMAL,,PENDING_REVIEW,,False,False,False,False,0.0,,407.458,0,0,0.0
gemini-3.6-flash,golden-pq-03,golden,False,PROVIDER_FAILURE,"Gemini provider rejected the request with HTTP 429: { ""error"": { ""code"": 429, ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head t",POLICY_QUERY,,LOW,,PENDING_REVIEW,,False,False,False,False,0.0,,486.413,0,0,0.0
